cgpa,attendance_pct,coding_score,projects_completed,internship_months,backlogs,target
8.46,3.78,4,2,15,0,0
6.78,53.99,0,3,52,3,1
6.96,47.04,6,8,49,0,1
5.47,38.26,7,1,57,3,0
9.21,85.3,3,2,13,5,1
6.92,50.83,5,4,54,0,0
6.78,49.32,4,6,51,1,1
6.08,54.81,1,5,23,4,1
5.13,56.22,2,6,40,4,1
9.55,41.71,2,1,41,6,0
4.68,73.68,2,7,44,4,1
8.17,87.63,3,2,45,2,1
8.61,64.73,2,4,11,1,0
5.84,64.26,2,0,42,3,0
5.96,25.31,2,3,3,6,0
5.05,74.23,4,1,26,0,1
7.76,54.08,5,5,48,2,0
6.78,55.06,3,1,6,5,1
9.77,67.9,0,2,23,3,1
6.01,62.99,5,2,54,2,0
6.84,22.87,2,4,39,4,1
6.89,51.46,1,4,27,1,1
6.33,50.62,3,6,11,5,1
6.97,51.2,3,0,43,2,0
6.89,3.12,3,3,30,3,1
7.82,19.36,1,0,60,6,0
7.73,59.5,0,3,30,2,1
5.59,37.19,2,5,4,0,1
6.88,0.0,5,2,46,6,0
4.73,46.07,1,2,37,3,1
6.79,37.41,7,3,51,1,1
7.58,30.79,2,0,22,0,0
6.73,68.52,3,4,33,2,0
6.84,50.75,5,0,35,0,1
7.31,17.23,3,2,2,0,0
8.19,44.47,2,6,16,4,1
6.27,73.71,4,4,11,2,1
6.92,18.96,4,3,3,7,1
5.17,39.15,4,1,52,4,1
8.09,32.64,2,3,51,6,0
7.09,65.72,3,3,10,1,0
6.88,56.0,5,2,15,7,1
7.65,53.53,8,1,14,3,0
7.2,13.09,1,2,22,1,0
7.71,72.49,1,3,28,4,1
5.26,13.23,3,7,29,4,1
6.38,31.2,2,3,30,0,0
7.65,32.22,4,8,9,3,1
8.98,70.58,4,5,56,4,1
5.25,55.35,1,2,49,8,1
7.05,14.55,1,2,33,0,0
7.91,33.12,5,5,51,4,0
5.02,47.31,3,5,37,0,0
7.46,84.44,1,2,24,5,1
8.28,79.85,2,3,48,2,1
6.41,65.29,5,3,46,4,1
7.14,78.3,2,3,5,1,1
9.41,45.87,4,2,16,2,0
10.0,42.29,7,2,2,7,0
8.77,25.3,2,2,43,3,1
6.47,2.94,4,4,41,6,1
9.63,35.11,4,2,42,1,0
9.03,27.38,5,1,54,2,0
6.93,38.12,4,3,25,2,0
6.62,55.21,2,5,59,4,1
8.39,5.61,3,1,54,3,1
9.28,100.0,3,3,47,2,0
9.75,70.83,2,8,38,3,1
9.06,51.9,3,2,41,6,1
6.87,64.34,3,2,27,2,1
5.86,47.66,2,1,45,1,1
7.08,52.26,0,4,25,3,1
8.13,14.17,6,4,12,4,1
6.47,58.42,9,4,54,3,0
6.03,71.72,2,1,47,3,1
6.69,49.68,0,2,37,3,1
10.0,78.06,4,2,8,5,0
6.39,24.58,2,2,12,1,0
7.1,26.06,3,1,51,3,0
8.44,45.47,5,4,56,3,0
8.21,38.32,4,4,40,2,1
9.09,53.79,2,1,24,2,0
6.66,54.29,4,2,44,4,1
8.2,37.03,3,0,46,1,0
6.86,52.28,2,4,36,2,0
8.79,32.61,1,0,22,2,0
6.65,42.11,4,3,24,4,0
7.04,19.24,1,1,18,1,0
9.02,60.03,5,5,25,2,1
7.92,69.12,5,1,22,0,0
7.62,22.01,3,5,49,2,1
7.24,72.89,2,3,47,1,0
6.44,37.17,3,4,13,4,1
8.02,32.97,1,0,35,4,0
6.72,49.57,3,3,38,4,1
8.75,77.88,1,0,35,3,0
7.99,48.02,2,1,1,2,1
7.71,59.1,2,5,30,1,1
7.09,37.34,4,6,40,3,1
8.73,53.99,1,3,43,1,0
6.7,51.56,2,2,28,1,0
6.08,33.33,3,2,13,5,1
8.13,77.63,2,0,35,1,1
8.75,58.45,5,2,18,0,0
5.54,66.24,2,3,52,6,0
7.42,19.3,2,2,20,0,1
7.9,49.75,2,3,2,3,1
7.53,4.76,5,3,18,2,0
8.23,68.86,6,1,21,0,0
8.7,69.11,4,3,4,4,0
7.69,60.7,3,1,52,2,0
7.13,12.22,1,3,32,3,0
7.04,55.37,4,5,49,3,0
8.03,48.62,2,2,3,6,1
7.74,31.98,2,3,17,8,0
6.96,35.25,6,4,12,6,0
6.73,36.65,2,5,18,2,1
7.38,70.7,3,1,36,3,0
7.89,23.68,0,1,13,2,0
9.1,42.54,4,0,38,2,0
7.17,64.71,2,4,35,3,1
4.64,62.68,3,0,24,2,1
7.74,76.05,1,2,47,1,1
7.12,45.8,2,3,35,6,1
7.82,53.38,3,5,19,4,1
4.81,36.84,6,5,25,2,0
4.9,34.0,4,2,42,4,1
6.84,59.64,3,3,3,5,1
8.18,48.69,3,3,26,4,0
8.63,60.32,4,5,8,5,1
8.15,18.59,4,5,12,6,1
7.94,74.97,2,2,30,2,1
7.32,51.21,2,1,15,1,0
8.89,27.99,3,3,60,1,0
6.53,30.9,4,3,21,4,1
6.42,58.15,1,7,15,2,1
8.22,74.59,1,1,2,5,1
5.75,50.07,1,3,29,2,1
5.87,25.44,2,4,45,5,0
5.26,61.04,5,6,1,0,1
6.72,62.08,3,4,35,4,1
8.19,39.37,5,0,38,1,0
8.82,38.76,5,1,57,3,0
5.82,42.06,2,1,38,4,1
10.0,49.27,1,2,21,5,1
5.12,61.92,3,1,60,4,1
7.8,50.57,4,1,30,2,1
7.11,95.34,3,4,10,2,1
7.78,56.32,2,7,40,3,0
6.45,18.61,0,2,51,7,0
7.98,17.73,1,6,44,0,0
6.76,63.02,2,0,46,1,0
8.38,39.72,2,7,10,1,0
8.12,40.14,2,4,12,4,1
7.12,49.64,2,2,6,3,1
6.15,8.29,3,2,24,4,0
6.45,48.76,3,3,38,5,1
8.41,71.18,5,1,52,4,0
7.04,56.96,0,2,6,3,1
7.23,65.64,4,0,19,2,0
6.36,58.51,0,5,25,5,1
8.38,59.9,4,3,59,2,0
5.71,32.46,4,5,7,2,1
8.44,41.6,4,1,16,6,0
6.68,35.74,1,1,14,5,1
7.73,48.15,5,3,43,4,0
5.09,10.33,2,5,59,3,0
6.19,72.46,4,3,29,1,0
7.39,53.62,4,3,49,2,0
7.66,70.15,4,2,1,2,1
7.57,47.27,2,4,3,2,1
5.86,49.65,3,3,50,2,1
7.78,33.81,0,4,27,3,1
9.34,31.12,3,2,41,2,0
7.27,22.84,4,2,13,2,0
6.17,33.61,4,1,59,3,0
7.57,23.72,2,0,19,2,0
6.65,40.76,2,4,20,3,1
6.98,62.87,3,1,48,0,0
7.54,80.98,3,3,11,6,1
5.26,38.31,10,1,17,1,0
9.7,73.2,5,3,26,0,0
10.0,63.95,5,1,57,8,0
9.46,62.13,3,3,60,4,1
7.02,46.91,1,1,54,4,0
4.8,58.82,4,2,56,2,0
6.22,93.95,1,3,11,3,1
8.34,43.13,3,2,15,3,1
6.89,29.82,5,3,34,4,1
7.33,40.03,5,3,25,5,1
8.09,86.49,3,3,37,1,0
8.03,80.99,3,8,46,3,1
7.25,69.84,1,0,5,3,0
7.98,40.44,4,4,36,3,0
4.22,72.33,2,3,41,5,1
5.53,38.45,0,0,9,5,1
7.0,66.84,5,3,39,4,0
6.63,66.9,5,1,29,2,0
6.71,67.79,5,1,52,0,0
7.4,32.9,5,4,7,3,0
7.59,44.81,2,4,4,4,0
7.13,39.72,2,4,7,3,1
8.37,96.26,1,1,4,5,1
7.42,52.86,2,0,43,3,0
8.77,32.14,2,2,23,2,0
6.36,53.75,3,6,56,0,0
5.9,54.14,7,7,2,2,0
6.57,54.26,2,2,19,5,1
8.91,44.84,6,1,28,2,0
6.72,62.81,2,3,52,4,1
8.85,36.71,0,4,10,1,1
7.35,57.76,4,4,53,5,1
6.62,38.44,4,3,19,1,1
7.23,29.96,2,0,60,6,1
4.88,51.43,3,4,50,2,0
7.8,56.54,1,5,21,4,1
7.13,25.59,3,3,33,3,1
7.61,70.34,2,4,8,2,0
8.41,17.54,1,2,58,4,0
7.93,16.33,4,0,7,1,0
8.2,44.53,1,4,23,7,1
5.73,71.94,5,5,9,5,1
9.4,53.09,3,1,55,3,0
8.35,50.76,3,1,59,5,0
8.93,34.22,1,3,33,1,0
7.43,56.13,2,3,29,2,1
7.7,58.23,5,2,27,5,0
